DATE,DSPIC96
1999-01-01,8923.4
1999-02-01,8953.2
1999-03-01,8962.3
1999-04-01,8944.9
1999-05-01,8962.0
1999-06-01,8992.4
1999-07-01,9002.6
1999-08-01,9043.0
1999-09-01,9037.4
1999-10-01,9094.7
1999-11-01,9160.3
1999-12-01,9234.7
2000-01-01,9307.1
2000-02-01,9342.6
2000-03-01,9366.5
2000-04-01,9409.7
2000-05-01,9446.4
2000-06-01,9469.6
2000-07-01,9516.6
2000-08-01,9568.5
2000-09-01,9569.8
2000-10-01,9582.9
2000-11-01,9579.0
2000-12-01,9595.3
2001-01-01,9651.9
2001-02-01,9668.6
2001-03-01,9697.2
2001-04-01,9670.8
2001-05-01,9648.1
2001-06-01,9648.3
2001-07-01,9790.6
2001-08-01,9958.9
2001-09-01,9886.1
2001-10-01,9732.3
2001-11-01,9754.3
2001-12-01,9774.4
2002-01-01,9968.3
2002-02-01,9976.4
2002-03-01,9975.9
2002-04-01,10011.3
2002-05-01,10044.8
2002-06-01,10067.0
2002-07-01,10035.0
2002-08-01,10028.9
2002-09-01,10032.9
2002-10-01,10060.6
2002-11-01,10090.6
2002-12-01,10124.3
2003-01-01,10124.6
2003-02-01,10098.2
2003-03-01,10124.0
2003-04-01,10176.9
2003-05-01,10254.7
2003-06-01,10285.0
2003-07-01,10408.7
2003-08-01,10476.8
2003-09-01,10350.6
2003-10-01,10390.5
2003-11-01,10456.5
2003-12-01,10470.9
2004-01-01,10460.9
2004-02-01,10479.2
2004-03-01,10522.1
2004-04-01,10566.1
2004-05-01,10623.7
2004-06-01,10632.7
2004-07-01,10654.4
2004-08-01,10685.4
2004-09-01,10690.7
2004-10-01,10697.8
2004-11-01,10670.2
2004-12-01,11066.6
2005-01-01,10669.3
2005-02-01,10673.7
2005-03-01,10711.7
2005-04-01,10745.8
2005-05-01,10794.9
2005-06-01,10818.5
2005-07-01,10821.3
2005-08-01,10835.1
2005-09-01,10798.2
2005-10-01,10877.4
2005-11-01,10967.8
2005-12-01,11025.5
2006-01-01,11136.9
2006-02-01,11176.2
2006-03-01,11196.7
2006-04-01,11191.2
2006-05-01,11186.4
2006-06-01,11213.7
2006-07-01,11204.6
2006-08-01,11201.3
2006-09-01,11272.5
2006-10-01,11330.4
