date,value
2018-03-31,2753881
2018-02-31,2293373
2018-01-31,1996721
2017-12-31,2575486
2017-11-31,2372888
2017-10-31,2017017
2017-09-31,1857226
2017-08-31,1896457
2017-07-31,1733308
2017-06-31,1888266
2017-05-31,1898840
2017-04-31,2037180
2017-03-31,2422749
2017-02-31,2224394
2017-01-31,2032108
2016-12-31,2763115
2016-11-31,2554486
2016-10-31,2326517
2016-09-31,1983596
2016-08-31,1836788
2016-07-31,2187190
2016-06-31,2123334
2016-05-31,1860699
2016-04-31,2135909
2016-03-31,2509065
2016-02-31,2604667
2016-01-31,2540146
2015-12-31,3308199
2015-11-31,2236457
2015-10-31,1969248
2015-09-31,1786743
2015-08-31,1735911
2015-07-31,1589462
2015-06-31,1518852
2015-05-31,1570893
2015-04-31,1697737
2015-03-31,2001245
2015-02-31,1848308
2015-01-31,1763233
2014-12-31,2301386
2014-11-31,1797163
2014-10-31,1595898
2014-09-31,1447485
2014-08-31,1538347
2014-07-31,1393705
2014-06-31,1375135
2014-05-31,1476318
2014-04-31,1733651
2014-03-31,2476610
2014-02-31,2073978
2014-01-31,1650565
2013-12-31,2032755
