date,value
2014-01-01,182
2014-01-02,77
2014-01-03,96
2014-01-04,110
2014-01-05,97
2014-01-06,54
2014-01-07,64
2014-01-08,85
2014-01-09,86
2014-01-10,66
2014-01-11,113
2014-01-12,119
2014-01-13,109
2014-01-14,110
2014-01-15,103
2014-01-16,104
2014-01-17,103
2014-01-18,104
2014-01-19,118
2014-01-20,127
2014-01-21,82
2014-01-22,86
2014-01-23,59
2014-01-24,65
2014-01-25,129
2014-01-26,100
2014-01-27,88
2014-01-28,90
2014-01-29,55
2014-01-30,64
2014-01-31,100
2014-02-01,101
2014-02-02,104
2014-02-03,78
2014-02-04,72
2014-02-05,57
2014-02-06,81
2014-02-07,68
2014-02-08,57
2014-02-09,76
2014-02-10,87
2014-02-11,43
2014-02-12,67
2014-02-13,72
2014-02-14,48
2014-02-15,64
2014-02-16,119
2014-02-17,67
2014-02-18,71
2014-02-19,85
2014-02-20,82
2014-02-21,83
2014-02-22,104
2014-02-23,99
2014-02-24,71
2014-02-25,69
2014-02-26,46
2014-02-27,58
2014-02-28,39
2014-03-01,121
2014-03-02,59
2014-03-03,57
2014-03-04,47
2014-03-05,83
2014-03-06,67
2014-03-07,73
2014-03-08,85
2014-03-09,102
2014-03-10,76
2014-03-11,88
2014-03-12,61
2014-03-13,56
2014-03-14,84
2014-03-15,99
2014-03-16,100
2014-03-17,82
2014-03-18,73
2014-03-19,78
2014-03-20,88
2014-03-21,85
2014-03-22,103
2014-03-23,105
2014-03-24,68
2014-03-25,92
2014-03-26,60
2014-03-27,74
2014-03-28,94
2014-03-29,91
2014-03-30,119
2014-03-31,88
2014-04-01,79
2014-04-02,89
2014-04-03,74
2014-04-04,81
2014-04-05,106
2014-04-06,122
2014-04-07,81
2014-04-08,92
2014-04-09,97
2014-04-10,74
2014-04-11,107
2014-04-12,120
2014-04-13,97
2014-04-14,93
2014-04-15,73
2014-04-16,89
2014-04-17,75
2014-04-18,97
2014-04-19,84
2014-04-20,118
2014-04-21,89
2014-04-22,76
2014-04-23,72
2014-04-24,93
2014-04-25,107
2014-04-26,138
2014-04-27,98
2014-04-28,72
2014-04-29,93
2014-04-30,75
2014-05-01,67
2014-05-02,98
2014-05-03,114
2014-05-04,111
2014-05-05,82
2014-05-06,83
2014-05-07,80
2014-05-08,89
2014-05-09,95
2014-05-10,122
2014-05-11,124
2014-05-12,84
2014-05-13,82
2014-05-14,85
2014-05-15,87
2014-05-16,85
2014-05-17,146
2014-05-18,127
2014-05-19,99
2014-05-20,88
2014-05-21,105
2014-05-22,69
2014-05-23,102
2014-05-24,134
2014-05-25,125
2014-05-26,157
2014-05-27,110
2014-05-28,77
2014-05-29,112
2014-05-30,113
2014-05-31,147
2014-06-01,120
2014-06-02,118
2014-06-03,97
2014-06-04,126
2014-06-05,107
2014-06-06,110
2014-06-07,105
2014-06-08,121
2014-06-09,112
2014-06-10,67
2014-06-11,103
2014-06-12,88
2014-06-13,91
2014-06-14,110
2014-06-15,117
2014-06-16,104
2014-06-17,84
2014-06-18,74
2014-06-19,93
2014-06-20,99
2014-06-21,124
2014-06-22,127
2014-06-23,100
2014-06-24,115
2014-06-25,96
2014-06-26,101
2014-06-27,107
2014-06-28,128
2014-06-29,155
2014-06-30,97
2014-07-01,87
2014-07-02,89
2014-07-03,108
2014-07-04,140
2014-07-05,224
2014-07-06,158
2014-07-07,132
2014-07-08,119
2014-07-09,113
2014-07-10,85
2014-07-11,88
2014-07-12,127
2014-07-13,154
2014-07-14,105
2014-07-15,100
2014-07-16,86
2014-07-17,113
2014-07-18,92
2014-07-19,137
2014-07-20,143
2014-07-21,90
2014-07-22,108
2014-07-23,102
2014-07-24,100
2014-07-25,91
2014-07-26,129
2014-07-27,119
2014-07-28,114
2014-07-29,112
2014-07-30,104
2014-07-31,116
2014-08-01,127
2014-08-02,144
2014-08-03,149
2014-08-04,102
2014-08-05,105
2014-08-06,109
2014-08-07,93
2014-08-08,116
2014-08-09,111
2014-08-10,156
2014-08-11,97
2014-08-12,95
2014-08-13,111
2014-08-14,98
2014-08-15,111
2014-08-16,135
2014-08-17,136
2014-08-18,104
2014-08-19,108
2014-08-20,119
2014-08-21,74
2014-08-22,106
2014-08-23,137
2014-08-24,140
2014-08-25,90
2014-08-26,80
2014-08-27,76
2014-08-28,77
2014-08-29,89
2014-08-30,99
2014-08-31,144
2014-09-01,119
2014-09-02,108
2014-09-03,105
2014-09-04,88
2014-09-05,98
2014-09-06,152
2014-09-07,95
2014-09-08,104
2014-09-09,76
2014-09-10,96
2014-09-11,103
2014-09-12,85
2014-09-13,118
2014-09-14,139
2014-09-15,97
2014-09-16,68
2014-09-17,87
2014-09-18,96
2014-09-19,97
2014-09-20,126
2014-09-21,160
2014-09-22,74
2014-09-23,85
2014-09-24,89
2014-09-25,74
2014-09-26,110
2014-09-27,125
2014-09-28,126
2014-09-29,83
2014-09-30,89
2014-10-01,85
2014-10-02,83
2014-10-03,92
2014-10-04,105
2014-10-05,124
2014-10-06,69
2014-10-07,81
2014-10-08,91
2014-10-09,66
2014-10-10,76
2014-10-11,122
2014-10-12,101
2014-10-13,105
2014-10-14,93
2014-10-15,88
2014-10-16,81
2014-10-17,105
2014-10-18,113
2014-10-19,104
2014-10-20,102
2014-10-21,72
2014-10-22,78
2014-10-23,79
2014-10-24,95
2014-10-25,151
2014-10-26,124
2014-10-27,99
2014-10-28,67
2014-10-29,91
2014-10-30,72
2014-10-31,82
2014-11-01,108
2014-11-02,90
2014-11-03,74
2014-11-04,73
2014-11-05,89
2014-11-06,84
2014-11-07,93
