date,value
2014-01,2945
2014-02,2068
2014-03,2558
2014-04,2761
2014-05,3199
2014-06,3196
2014-07,3585
2014-08,3438
2014-09,3072
2014-10,2896
2014-11,2849
2014-12,2992
2015-01,2931
2015-02,2248
2015-03,3183
2015-04,3144
2015-05,3841
2015-06,3506
2015-07,3962
2015-08,3863
2015-09,3673
2015-10,3349
2015-11,3281
2015-12,3470
2016-01,3389
2016-02,2848
2016-03,3611
2016-04,3428
2016-05,3792
2016-06,3780
2016-07,4437
2016-08,4461
2016-09,3884
2016-10,4148
2016-11,4010
2016-12,3858
2017-01,3960
2017-02,3338
2017-03,3453
2017-04,3879
2017-05,4121
2017-06,4045
2017-07,4409
2017-08,4055
2017-09,3769
2017-10,4595
2017-11,3681
2017-12,3457
2018-01,3689
2018-02,2804
2018-03,3211
